bait,prey,complex,n_complex
Ist3,Sme1,U2 snRNP complex,18
Ist3,Smx2,U2 snRNP complex,18
Ist3,Smx3,U2 snRNP complex,18
Hsh49,Lea1,U2 snRNP complex,18
Hsh49,Msl1,U2 snRNP complex,18
Hsh49,Rse1,U2 snRNP complex,18
Hsh49,Hsh155,U2 snRNP complex,18
Hsh49,Ist3,U2 snRNP complex,18
Hsh49,Prp9,U2 snRNP complex,18
Hsh49,Prp11,U2 snRNP complex,18
Hsh49,Prp21,U2 snRNP complex,18
Hsh49,Cus1,U2 snRNP complex,18
Hsh49,Cus2,U2 snRNP complex,18
Hsh49,Smb1,U2 snRNP complex,18
Hsh49,Smd1,U2 snRNP complex,18
Hsh49,Smd2,U2 snRNP complex,18
Hsh49,Smd3,U2 snRNP complex,18
Hsh49,Sme1,U2 snRNP complex,18
Hsh49,Smx2,U2 snRNP complex,18
Hsh49,Smx3,U2 snRNP complex,18
Prp9,Lea1,U2 snRNP complex,18
Prp9,Msl1,U2 snRNP complex,18
Prp9,Rse1,U2 snRNP complex,18
Prp9,Hsh155,U2 snRNP complex,18
Prp9,Ist3,U2 snRNP complex,18
Prp9,Hsh49,U2 snRNP complex,18
Prp9,Prp11,U2 snRNP complex,18
Prp9,Prp21,U2 snRNP complex,18
Prp9,Cus1,U2 snRNP complex,18
Prp9,Cus2,U2 snRNP complex,18
Prp9,Smb1,U2 snRNP complex,18
Prp9,Smd1,U2 snRNP complex,18
Prp9,Smd2,U2 snRNP complex,18
Prp9,Smd3,U2 snRNP complex,18
Prp9,Sme1,U2 snRNP complex,18
Prp9,Smx2,U2 snRNP complex,18
Prp9,Smx3,U2 snRNP complex,18
Prp11,Lea1,U2 snRNP complex,18
Prp11,Msl1,U2 snRNP complex,18
Prp11,Rse1,U2 snRNP complex,18
Prp11,Hsh155,U2 snRNP complex,18
Prp11,Ist3,U2 snRNP complex,18
Prp11,Hsh49,U2 snRNP complex,18
Prp11,Prp9,U2 snRNP complex,18
Prp11,Prp21,U2 snRNP complex,18
Prp11,Cus1,U2 snRNP complex,18
Prp11,Cus2,U2 snRNP complex,18
Prp11,Smb1,U2 snRNP complex,18
Prp11,Smd1,U2 snRNP complex,18
Prp11,Smd2,U2 snRNP complex,18
Prp11,Smd3,U2 snRNP complex,18
Prp11,Sme1,U2 snRNP complex,18
Prp11,Smx2,U2 snRNP complex,18
Prp11,Smx3,U2 snRNP complex,18
Prp21,Lea1,U2 snRNP complex,18
Prp21,Msl1,U2 snRNP complex,18
Prp21,Rse1,U2 snRNP complex,18
Prp21,Hsh155,U2 snRNP complex,18
Prp21,Ist3,U2 snRNP complex,18
Prp21,Hsh49,U2 snRNP complex,18
Prp21,Prp9,U2 snRNP complex,18
Prp21,Prp11,U2 snRNP complex,18
Prp21,Cus1,U2 snRNP complex,18
Prp21,Cus2,U2 snRNP complex,18
Prp21,Smb1,U2 snRNP complex,18
Prp21,Smd1,U2 snRNP complex,18
Prp21,Smd2,U2 snRNP complex,18
Prp21,Smd3,U2 snRNP complex,18
Prp21,Sme1,U2 snRNP complex,18
Prp21,Smx2,U2 snRNP complex,18
Prp21,Smx3,U2 snRNP complex,18
Cus1,Lea1,U2 snRNP complex,18
Cus1,Msl1,U2 snRNP complex,18
Cus1,Rse1,U2 snRNP complex,18
Cus1,Hsh155,U2 snRNP complex,18
Cus1,Ist3,U2 snRNP complex,18
Cus1,Hsh49,U2 snRNP complex,18
Cus1,Prp9,U2 snRNP complex,18
Cus1,Prp11,U2 snRNP complex,18
Cus1,Prp21,U2 snRNP complex,18
Cus1,Cus2,U2 snRNP complex,18
Cus1,Smb1,U2 snRNP complex,18
Cus1,Smd1,U2 snRNP complex,18
Cus1,Smd2,U2 snRNP complex,18
Cus1,Smd3,U2 snRNP complex,18
Cus1,Sme1,U2 snRNP complex,18
Cus1,Smx2,U2 snRNP complex,18
Cus1,Smx3,U2 snRNP complex,18
Cus2,Lea1,U2 snRNP complex,18
Cus2,Msl1,U2 snRNP complex,18
Cus2,Rse1,U2 snRNP complex,18
Cus2,Hsh155,U2 snRNP complex,18
Cus2,Ist3,U2 snRNP complex,18
Cus2,Hsh49,U2 snRNP complex,18
Cus2,Prp9,U2 snRNP complex,18
Cus2,Prp11,U2 snRNP complex,18
Cus2,Prp21,U2 snRNP complex,18
Cus2,Cus1,U2 snRNP complex,18
Cus2,Smb1,U2 snRNP complex,18
Cus2,Smd1,U2 snRNP complex,18
Cus2,Smd2,U2 snRNP complex,18
Cus2,Smd3,U2 snRNP complex,18
Cus2,Sme1,U2 snRNP complex,18
Cus2,Smx2,U2 snRNP complex,18
Cus2,Smx3,U2 snRNP complex,18
Smb1,Lea1,U2 snRNP complex,18
Smb1,Msl1,U2 snRNP complex,18
Smb1,Rse1,U2 snRNP complex,18
Smb1,Hsh155,U2 snRNP complex,18
Smb1,Ist3,U2 snRNP complex,18
Smb1,Hsh49,U2 snRNP complex,18
Smb1,Prp9,U2 snRNP complex,18
Smb1,Prp11,U2 snRNP complex,18
Smb1,Prp21,U2 snRNP complex,18
Smb1,Cus1,U2 snRNP complex,18
Smb1,Cus2,U2 snRNP complex,18
Smb1,Smd1,U2 snRNP complex,18
Smb1,Smd2,U2 snRNP complex,18
Smb1,Smd3,U2 snRNP complex,18
Smb1,Sme1,U2 snRNP complex,18
Smb1,Smx2,U2 snRNP complex,18
Smb1,Smx3,U2 snRNP complex,18
Smd1,Lea1,U2 snRNP complex,18
Smd1,Msl1,U2 snRNP complex,18
Smd1,Rse1,U2 snRNP complex,18
Smd1,Hsh155,U2 snRNP complex,18
Smd1,Ist3,U2 snRNP complex,18
Smd1,Hsh49,U2 snRNP complex,18
Smd1,Prp9,U2 snRNP complex,18
Smd1,Prp11,U2 snRNP complex,18
Smd1,Prp21,U2 snRNP complex,18
Smd1,Cus1,U2 snRNP complex,18
Smd1,Cus2,U2 snRNP complex,18
Smd1,Smb1,U2 snRNP complex,18
Smd1,Smd2,U2 snRNP complex,18
Smd1,Smd3,U2 snRNP complex,18
Smd1,Sme1,U2 snRNP complex,18
Smd1,Smx2,U2 snRNP complex,18
Smd1,Smx3,U2 snRNP complex,18
Smd2,Lea1,U2 snRNP complex,18
Smd2,Msl1,U2 snRNP complex,18
Smd2,Rse1,U2 snRNP complex,18
Smd2,Hsh155,U2 snRNP complex,18
Smd2,Ist3,U2 snRNP complex,18
Smd2,Hsh49,U2 snRNP complex,18
