"Protein.IDs","my_label","Gene.names","difference_IP_RNase","log10.pvalue_IP_RNase","log2.LFQ.intensity.IP_01","log2.LFQ.intensity.IP_02","log2.LFQ.intensity.IP_03","log2.LFQ.intensity.IP_04","imputed.log2.LFQ.intensity.IP_01","imputed.log2.LFQ.intensity.IP_02","imputed.log2.LFQ.intensity.IP_03","imputed.log2.LFQ.intensity.IP_04","value_count_IP","log2.LFQ.intensity.RNase_01","log2.LFQ.intensity.RNase_02","log2.LFQ.intensity.RNase_03","imputed.log2.LFQ.intensity.RNase_01","imputed.log2.LFQ.intensity.RNase_02","imputed.log2.LFQ.intensity.RNase_03","value_count_RNase"
"YGL030W","RPL30","RPL30",-2.62686003077128,4.91899926040154,NA,24.1813172844077,24.1276247411752,24.136804667174,23.768206155156,24.1813172844077,24.1276247411752,24.136804667174,3,26.6390657517416,26.5324775682157,26.8695014082913,26.6390657517416,26.5324775682157,26.8695014082913,3
"YLR367W;YJL190C","RPS22B","RPS22B",-2.98585725740434,4.87853512369744,NA,24.3107736292848,24.5424457687961,24.2880645570297,23.8861157007328,24.3107736292848,24.5424457687961,24.2880645570297,3,27.4029186327027,27.0264380020429,27.2987648793501,27.4029186327027,27.0264380020429,27.2987648793501,3
"YKL156W;YHR021C","RPS27A","RPS27A",-1.94099408720545,4.63757910950765,24.9808508178924,24.9792378207155,25.3025697608658,25.1764936737014,24.9808508178924,24.9792378207155,25.3025697608658,25.1764936737014,4,27.1682525138832,26.8883222319962,27.0957715706183,27.1682525138832,26.8883222319962,27.0957715706183,3
"YOL121C","RPS19A","RPS19A",-1.97718969129308,4.34645462028877,26.8918022410186,26.8412216838587,26.9902097646517,27.1673913461993,26.8918022410186,26.8412216838587,26.9902097646517,27.1673913461993,4,29.0088382766706,28.7734473667162,29.0672522072887,29.0088382766706,28.7734473667162,29.0672522072887,3
"YJR145C;YHR203C","RPS4A","RPS4A",-4.68773043947212,4.31050959289434,NA,24.2390699560624,23.0160580942604,23.1227679739277,23.7422074399516,24.2390699560624,23.0160580942604,23.1227679739277,3,28.4862725250568,27.8586946533347,28.3083017381764,28.4862725250568,27.8586946533347,28.3083017381764,3
"YPL090C;YBR181C","RPS6A","RPS6A",-4.12149977286605,4.17186920078032,24.2877828219235,25.4530276768969,24.5917784426767,24.9712772591208,24.2877828219235,25.4530276768969,24.5917784426767,24.9712772591208,4,29.3643609883437,28.5987156016156,28.8793223791023,29.3643609883437,28.5987156016156,28.8793223791023,3
"YGL031C","RPL24A","RPL24A",-4.97165189000996,4.037478072973,23.9087568902309,22.9789848089243,22.296337082766,22.8735011876244,23.9087568902309,22.9789848089243,22.296337082766,22.8735011876244,4,28.3639851940818,27.745990815891,27.8481646372164,28.3639851940818,27.745990815891,27.8481646372164,3
"YDR224C;YBL002W","HTB1","HTB1",-1.42992016210469,4.00511095676771,25.4063939514105,25.7528961235438,25.8084047152221,25.7472464586847,25.4063939514105,25.7528961235438,25.8084047152221,25.7472464586847,4,27.2746210042471,27.0571370211022,26.9942083976106,27.2746210042471,27.0571370211022,26.9942083976106,3
"YIL018W;YFR031C-A","RPL2B","RPL2B",-4.27291057269613,3.88079066219404,NA,23.8569034358148,22.9300709962188,22.7826079550329,23.8755634516159,23.8569034358148,22.9300709962188,22.7826079550329,3,27.77868857182,27.3421471183103,27.7817554069699,27.77868857182,27.3421471183103,27.7817554069699,3
"YBR189W;YPL081W","RPS9B","RPS9B",-3.50892337055647,3.76176602456103,NA,24.6442193714161,24.1653799536173,24.6462536984939,23.7413875357527,24.6442193714161,24.1653799536173,24.6462536984939,3,28.2201117019832,27.4069777627252,27.797611066421,28.2201117019832,27.4069777627252,27.797611066421,3
"YDR025W;YBR048W","RPS11A","RPS11A",-5.32776023729341,3.68739433295839,23.6520659398065,23.4065237076764,23.2278057010952,22.6221421066498,23.6520659398065,23.4065237076764,23.2278057010952,22.6221421066498,4,29.1562938220918,28.0964754959999,28.4119144852095,29.1562938220918,28.0964754959999,28.4119144852095,3
"YEL054C;YDR418W","RPL12A","RPL12A",-1.48254907100119,3.68577300372261,27.5337106600222,27.2008822956722,27.3533809469421,27.2294019377352,27.5337106600222,27.2008822956722,27.3533809469421,27.2294019377352,4,28.903514412412,28.6197139513661,28.9124507295043,28.903514412412,28.6197139513661,28.9124507295043,3
