source,target,Functionality
Tif4631,Pab1,Multiple
Tif4631,Xrn1,Multiple
Tif4631,Rpg1,Multiple
Tif4631,Hhf2,Multiple
Tif4631,Sup35,Multiple
Tif4631,Utp10,Multiple
Tif4631,Rpa190,Multiple
Tif4631,Arf1,Multiple
Tif4631,Tef4,Multiple
Tif4631,Htb1,Multiple
Tif4631,Nop56,Multiple
Tif4631,Yef3,Multiple
Tif4631,Hta1,Multiple
Tif4631,Hyp2,Multiple
Tif4631,Cbf5,Multiple
Tif4631,Gsp1,Multiple
Tif4631,Fun12,Multiple
Tif4631,Gcd11,Multiple
Tif4631,Tub1,Multiple
